Trade,Date,Direction,Entry_Price,Exit_Price,Result,Gross_PnL,Entry_Fee,Exit_Fee,Net_PnL,Cumulative_PnL,Duration_Hours
0,2026-01-02 16:00,SHORT,88778.703125,89844.0475625,SL,-106.53444374999964,8.8778703125,8.984404756250001,-124.39671881874963,-124.39671881874963,13.0
1,2026-01-04 05:00,SHORT,90346.578125,91430.7370625,SL,-108.41589375000041,9.034657812499999,9.143073706250002,-126.59362526875042,-250.99034408750003,37.0
2,2026-01-05 00:00,SHORT,91213.8046875,92308.37034375001,SL,-109.4565656250008,9.121380468749999,9.230837034375002,-127.80878312812581,-378.79912721562584,18.0
3,2026-01-05 17:00,SHORT,92916.90625,94031.909125,SL,-111.50028750000057,9.291690625000001,9.403190912500001,-130.19516903750056,-508.99429625312644,16.0
4,2026-01-08 06:00,SHORT,94264.9609375,90494.3625,TP,377.05984374999974,9.42649609375,9.049436250000001,358.58391140624974,-150.4103848468767,61.0
5,2026-01-13 14:00,SHORT,91112.8046875,92206.15834375,SL,-109.3353656249994,9.111280468750001,9.220615834375,-127.66726192812439,-278.0776467750011,107.0
6,2026-01-13 20:00,SHORT,93283.03125,94402.427625,SL,-111.93963749999966,9.328303125,9.4402427625,-130.70818338749967,-408.78583016250076,5.0
7,2026-01-14 14:00,SHORT,95266.8515625,96410.05378125,SL,-114.3202218749997,9.52668515625,9.641005378125001,-133.4879124093747,-542.2737425718755,13.0
8,2026-01-19 00:00,SHORT,97212.4921875,93323.9925,TP,388.8499687500007,9.721249218750001,9.33239925,369.7963202812507,-172.47742229062476,104.0
9,2026-01-25 19:00,SHORT,90108.515625,86504.175,TP,360.43406249999975,9.010851562500001,8.650417500000001,342.77279343749973,170.29537114687497,85.0
10,2026-01-27 02:00,SHORT,87551.1015625,88601.71478125,SL,-105.06132187500043,8.755110156250002,8.860171478125002,-122.67660350937543,47.618767637499545,17.0
11,2026-01-28 13:00,SHORT,89012.0546875,90080.19934375,SL,-106.8144656250006,8.90120546875,9.008019934375001,-124.72369102812559,-77.10492339062603,6.0
12,2026-02-03 17:00,SHORT,78959.21875,75800.84999999999,TP,315.8368750000009,7.895921875,7.5800849999999995,300.3608681250009,223.25594473437485,24.0
